,date,ordinal_date,dayofweek,day,start_time,end_time,time_taken,activity,activity status,planned
114,2018-04-10,40,Tuesday,Tuesday 10th April 2018,10:00:00,12:00:00,120.0,10-12: Design IFNy and IL-17a primers (Shakti),not done,True
115,2018-04-10,40,Tuesday,Tuesday 10th April 2018,13:00:00,15:00:00,120.0,"1-3: Lab chores (Lab) – aliquots of PBS, aliquots of RBCLB",done,True
116,2018-04-10,40,Tuesday,Tuesday 10th April 2018,15:00:00,17:00:00,120.0,3-5: PCR planning for SS02 PCR #4 (Shakti),done,True
117,2018-04-10,40,Tuesday,Tuesday 10th April 2018,,,,Find IL-18 and IL-1b ELISA kits (IL-18 kit probably doesn’t exist),done,True
118,2018-04-10,40,Tuesday,Tuesday 10th April 2018,,,,Get FoxP3 Trn Factor.,done,True
119,2018-04-10,40,Tuesday,Tuesday 10th April 2018,09:00:00,15:00:00,360.0,9-3: qPCR (Shakti),not done,True
120,2018-04-11,41,Wednesday,Wednesday 11th April 2018,09:00:00,10:00:00,60.0,"9-10: Prep hood, make freezing media for PIES",done,True
121,2018-04-11,41,Wednesday,Wednesday 11th April 2018,09:00:00,10:00:00,60.0,9-10: -80C Freezer inventory,done,True
122,2018-04-11,41,Wednesday,Wednesday 11th April 2018,10:00:00,14:00:00,240.0,10-2: PIES 110 JDK V3,done,True
123,2018-04-11,41,Wednesday,Wednesday 11th April 2018,,,,After 2: Find and organise SS02 samples for protein extraction (Shakti),not done,True
124,2018-04-11,41,Wednesday,Wednesday 11th April 2018,15:00:00,17:00:00,120.0,3-5: Shadow Tegan for ELISA,not done,True
125,2018-04-12,42,Thursday,Thursday 12th April 2018,09:00:00,12:30:00,210.0,"9-12:30: SS02 colon and lung PCR 384 well, inflammasome (Shakti/Chantal)",done,True
126,2018-04-12,42,Thursday,Thursday 12th April 2018,,,,After 1: Find and organise SS02 samples for protein extraction (Shakti),done,True
127,2018-04-12,42,Thursday,Thursday 12th April 2018,14:00:00,15:00:00,60.0,"2-3: CD15 BALF (Chantal), microscope booked",not done,True
128,2018-04-12,42,Thursday,Thursday 12th April 2018,,,,PCR analysis,done,True
129,2018-04-12,42,Thursday,Thursday 12th April 2018,16:00:00,17:00:00,60.0,4-5: -80C freezer inventory,done,True
130,2018-04-12,42,Thursday,Thursday 12th April 2018,15:00:00,17:00:00,120.0,3-5: Shadow Tegan for ELISA,done,True
131,2018-04-13,43,Friday,Friday 13th April 2018,,,,[Sick again],note,True
132,2018-04-13,43,Friday,Friday 13th April 2018,09:00:00,17:00:00,480.0,9-5: Shadow Tegan for ELISA,not done,True
133,2018-04-13,43,Friday,Friday 13th April 2018,16:00:00,17:00:00,60.0,4-5: -80C freezer inventory,not done,True
134,2018-04-13,43,Friday,Friday 13th April 2018,14:00:00,17:00:00,180.0,2-5: Protein extractions of SS02 samples or KB air vs smk samples,not done,True
135,2018-04-16,46,Monday,Monday 16th April 2018,09:00:00,10:00:00,60.0,9-10: -80C freezer inventory,done,True
136,2018-04-16,46,Monday,Monday 16th April 2018,,,,Validate new scales,done,True
137,2018-04-16,46,Monday,Monday 16th April 2018,,,,"Check RBCLB and PBS aliquot levels, all good, will need more later this week",done,True
138,2018-04-16,46,Monday,Monday 16th April 2018,,,,Labelling for Tegan/Chantal,done,True
139,2018-04-16,46,Monday,Monday 16th April 2018,14:30:00,15:00:00,30.0,2:30-3: Lab chore: Cleaning glasswear,done,True
140,2018-04-16,46,Monday,Monday 16th April 2018,14:00:00,17:00:00,180.0,2-5: Protein extractions of KB air vs smk samples Cant do this as there is no PhosStop (Samples in downstairs freezer),not done,True
141,2018-04-16,46,Monday,Monday 16th April 2018,,,,Planning for freezer contents shifting,done,True
142,2018-04-16,46,Monday,Monday 16th April 2018,13:30:00,16:00:00,150.0,1:30-4: Design IFNy and IL-17a primers (Shakti),not done,True
143,2018-04-16,46,Monday,Monday 16th April 2018,12:00:00,13:00:00,60.0,12-1: CD15 BALF counts,done,True
144,2018-04-17,47,Tuesday,Tuesday 17th April 2018,09:00:00,10:00:00,60.0,"9-10: Shadow Britt for protein extraction, cant do no phosstop",not done,True
145,2018-04-17,47,Tuesday,Tuesday 17th April 2018,09:30:00,10:00:00,30.0,9:30-10: Shift -20 freezer contents to new freezers.,done,False
146,2018-04-17,47,Tuesday,Tuesday 17th April 2018,11:30:00,13:00:00,90.0,11:30-1: Mast Cell culturing (Gang),done,True
147,2018-04-17,47,Tuesday,Tuesday 17th April 2018,14:00:00,15:00:00,60.0,2-3: Microbiome meeting,done,False
148,2018-04-17,47,Tuesday,Tuesday 17th April 2018,15:00:00,16:00:00,60.0,3-4: Shift -20 freezer contents to new freezers.,done,False
149,2018-04-17,47,Tuesday,Tuesday 17th April 2018,15:00:00,17:00:00,120.0,3-5: Defrost freezers,done,False
150,2018-04-17,47,Tuesday,Tuesday 17th April 2018,16:00:00,17:00:00,60.0,4-5: Tube labelling ACOS (Chantal),done,True
151,2018-04-18,48,Wednesday,Wednesday 18th April 2018,09:00:00,10:00:00,60.0,9-10: -80C freezer inventory,done,True
152,2018-04-18,48,Wednesday,Wednesday 18th April 2018,10:00:00,11:00:00,60.0,10-11: Sanitise defrosted fridge/freezers,done,False
153,2018-04-18,48,Wednesday,Wednesday 18th April 2018,11:00:00,11:30:00,30.0,11-11:30: Tube labelling ACOS (Chantal),done,True
154,2018-04-18,48,Wednesday,Wednesday 18th April 2018,12:30:00,17:00:00,270.0,12:30-5: KB19 RNA extraction + some lung samples for TJ,done,True
155,2018-04-18,48,Wednesday,Wednesday 18th April 2018,15:00:00,17:00:00,120.0,3-5: Prepare for IL-1b ELISA,not done,True
156,2018-04-19,49,Thursday,Thursday 19th April 2018,09:00:00,10:00:00,60.0,9-10: -80C freezer inventory,done,True
157,2018-04-19,49,Thursday,Thursday 19th April 2018,10:00:00,12:00:00,120.0,10-12: Tube labelling ACOS (Chantal),done,True
158,2018-04-19,49,Thursday,Thursday 19th April 2018,,,,"Check Mast Cells, DMEM still red",done,True
159,2018-04-19,49,Thursday,Thursday 19th April 2018,13:00:00,15:00:00,120.0,1-3: BALF CD15 (Chantal),done,True
160,2018-04-19,49,Thursday,Thursday 19th April 2018,15:00:00,17:00:00,120.0,3-5: IFNy and IL-17a primer design,done,True
161,2018-04-19,49,Thursday,Thursday 19th April 2018,09:00:00,17:00:00,480.0,9-5: IL-1b ELISA of SS02 air vs 12 wk smk and poo transplants,not done,True
162,2018-04-20,50,Friday,Friday 20th April 2018,09:00:00,17:00:00,480.0,9-5: Shadow Britt for ELISA ,not done,True
163,2018-04-20,50,Friday,Friday 20th April 2018,,,,Freezer inventory,not done,True
164,2018-04-20,50,Friday,Friday 20th April 2018,,,,"Order primers, double check they tick all the boxes (Shakti)",partly done,True
165,2018-04-20,50,Friday,Friday 20th April 2018,,,,Labelling still more to go...,done,True
166,2018-04-20,50,Friday,Friday 20th April 2018,,,,Move new freezers into position,done,True
167,2018-04-20,50,Friday,Friday 20th April 2018,,,,Protein extraction,not done,True
168,2018-04-20,50,Friday,Friday 20th April 2018,,,,Passage Mast Cells,done,True
169,2018-04-23,53,Monday,Monday 23rd April 2018,09:00:00,17:00:00,480.0,9-5: Shadow Britt for ELISA ,not done,True
170,2018-04-23,53,Monday,Monday 23rd April 2018,09:00:00,13:30:00,270.0,9-1:30: Protein extractions of KB air vs smk samples (Samples in downstairs freezer),done,True
171,2018-04-23,53,Monday,Monday 23rd April 2018,14:00:00,17:00:00,180.0,2-5: Labelling,done,True
172,2018-04-24,54,Tuesday,Tuesday 24th April 2018,09:00:00,12:00:00,180.0,9-12: BSA validation of protein extractions,not done,True
173,2018-04-24,54,Tuesday,Tuesday 24th April 2018,09:00:00,17:00:00,480.0,9-5: Watch other’s ELISA’s,done,True
174,2018-04-24,54,Tuesday,Tuesday 24th April 2018,11:00:00,14:00:00,180.0,"11-2: labelling, 3 types of fat and histo tubes",done,True
175,2018-04-24,54,Tuesday,Tuesday 24th April 2018,,,,Lab chore: PBS aliquots,done,True
176,2018-04-25,55,Wednesday,Wednesday 25th April 2018,,,,Anzac Day,done,True
177,2018-04-26,56,Thursday,Thursday 26th April 2018,09:00:00,10:00:00,60.0,9-10: Plan for BCA and ELISA,done,True
178,2018-04-26,56,Thursday,Thursday 26th April 2018,10:00:00,13:00:00,180.0,10-1: PIES 103 B-W V4 (Tegan),done,True
179,2018-04-26,56,Thursday,Thursday 26th April 2018,13:00:00,16:00:00,180.0,"1-4: BCA of colon protein, protein too concentrated, 1:10 dilution should fix this.",done,True
180,2018-04-26,56,Thursday,Thursday 26th April 2018,,,,"Help with ACOS endpoint, not needed",not done,True
181,2018-04-27,57,Friday,Friday 27th April 2018,09:00:00,11:00:00,120.0,9-11: qPCR SS02 Colon Smk 12 wk FT inflammasome (Shakti),done,True
182,2018-04-27,57,Friday,Friday 27th April 2018,11:00:00,13:00:00,120.0,11-1: BCA of colon protein (Shakti/Kurtis),done,True
183,2018-04-27,57,Friday,Friday 27th April 2018,14:00:00,16:00:00,120.0,2-4: May Grunwald staining (Henry – for Grant),done,True
184,2018-04-27,57,Friday,Friday 27th April 2018,,,,"Help with ACOS endpoint, not needed",not done,True
185,2018-04-27,57,Friday,Friday 27th April 2018,,,,Move PIES samples down to LN2,done,True
186,2018-04-30,60,Monday,Monday 30th April 2018,09:00:00,12:00:00,180.0,"9-12: RNA extraction TJ17 (Tatt) Samples in Jay’s freezer top shelf, third row, and middle draw",done,True
187,2018-04-30,60,Monday,Monday 30th April 2018,13:00:00,15:00:00,120.0,1-3: Something for Kurtis (probably histology micrographs),done,True
188,2018-04-30,60,Monday,Monday 30th April 2018,16:00:00,17:00:00,60.0,4-5: Coat plate for Il-1β ELISA (Shakti/Kurtis),done,True
189,2018-05-01,61,Tuesday,Tuesday 1st May 2018,09:00:00,17:00:00,480.0,9-5: ELISA Il-1β KB15 Air vs Smk plus Ace and Triacetin (Shakti/Kurtis),done,True
190,2018-05-01,61,Tuesday,Tuesday 1st May 2018,,,,Process KB19 PCR data,done,False
191,2018-05-02,62,Wednesday,Wednesday 2nd May 2018,09:00:00,13:00:00,240.0,9-1: TJ23 RNA extraction #1,done,True
192,2018-05-02,62,Wednesday,Wednesday 2nd May 2018,,,,ELISA analysis,done,True
193,2018-05-02,62,Wednesday,Wednesday 2nd May 2018,,,,Order primers,done,True
194,2018-05-03,63,Thursday,Thursday 3rd May 2018,09:00:00,13:00:00,240.0,9-1: TJ23 RNA extraction #2,done,True
195,2018-05-03,63,Thursday,Thursday 3rd May 2018,,,,Order primers,done,True
196,2018-05-03,63,Thursday,Thursday 3rd May 2018,13:00:00,17:00:00,240.0,"1-5: Histology imaging for Kurtis, machine was booked for some of this time",partly done,True
197,2018-05-03,63,Thursday,Thursday 3rd May 2018,13:00:00,16:00:00,180.0,1-4: KB19 qPCR (Kurtis) Not enough platesealers,not done,True
198,2018-05-03,63,Thursday,Thursday 3rd May 2018,15:00:00,16:00:00,60.0,3-4: PBS aliquots,done,False
199,2018-05-04,64,Friday,Friday 4th May 2018,09:00:00,10:00:00,60.0,9-10: KB22 100x lung tissue micrographs,done,True
200,2018-05-04,64,Friday,Friday 4th May 2018,10:00:00,11:00:00,60.0,10-11: Chantal mouse training,done,True
201,2018-05-04,64,Friday,Friday 4th May 2018,12:30:00,14:00:00,90.0,12:30-2: KB22 100x lung tissue micrographs,done,True
202,2018-05-04,64,Friday,Friday 4th May 2018,14:00:00,15:00:00,60.0,2-3: Measurements for boxes to fit into new -30C,done,True
203,2018-05-04,64,Friday,Friday 4th May 2018,15:00:00,17:00:00,120.0,"3-5: Paper reading, lab chores, other small things",partly done,True
204,2018-05-04,64,Friday,Friday 4th May 2018,,,,Helped Henry with a PCR for a grant,done,False
205,2018-05-07,67,Monday,Monday 7th May 2018,,,,Order primers INF-G and IL-17a,done,False
206,2018-05-07,67,Monday,Monday 7th May 2018,09:00:00,15:00:00,360.0,9-3: Histology imaging for Kurtis,done,True
207,2018-05-07,67,Monday,Monday 7th May 2018,14:00:00,17:00:00,180.0,"2-5: lab chores, check Mast Cells, ticket for shelf holder upers",done,False
208,2018-05-08,68,Tuesday,Tuesday 8th May 2018,09:00:00,11:00:00,120.0,9-11: Mice handling practice,done,True
209,2018-05-08,68,Tuesday,Tuesday 8th May 2018,12:00:00,17:00:00,300.0,12-5: TJ RNA extraction,done,True
210,2018-05-09,69,Wednesday,Wednesday 9th May 2018,09:00:00,11:00:00,120.0,9-11: KB19 qPCR (Kurtis),done,True
211,2018-05-09,69,Wednesday,Wednesday 9th May 2018,12:00:00,15:00:00,180.0,12-3: PIES JDK V4,done,True
212,2018-05-09,69,Wednesday,Wednesday 9th May 2018,,,,Possibly cell stuff with Gang.,not done,True
213,2018-05-09,69,Wednesday,Wednesday 9th May 2018,,,,Make up aliquots of RBCLB,done,False
214,2018-05-09,69,Wednesday,Wednesday 9th May 2018,,,,Filter sterilize 0.1M NaOH for Chantal,done,False
215,2018-05-10,70,Thursday,Thursday 10th May 2018,,,,Take PIES samples down to LN2 storage,done,False
216,2018-05-10,70,Thursday,Thursday 10th May 2018,,,,qPCR analysis,done,False
217,2018-05-10,70,Thursday,Thursday 10th May 2018,,,,Setup for RNA extraction,done,False
218,2018-05-10,70,Thursday,Thursday 10th May 2018,,,,Research for best options for ELISA Pneumococcal grant,done,False
219,2018-05-10,70,Thursday,Thursday 10th May 2018,,,,9:30: Meeting with Phil,done,True
220,2018-05-10,70,Thursday,Thursday 10th May 2018,09:00:00,11:00:00,120.0,9-11: Mice handling practice,not done,True
221,2018-05-10,70,Thursday,Thursday 10th May 2018,13:00:00,17:00:00,240.0,1-5: TJ20 RNA extraction,done,True
222,2018-05-11,71,Friday,Friday 11th May 2018,09:00:00,13:00:00,240.0,9-1: RT for TJ23 Lung RNA ,done,True
223,2018-05-11,71,Friday,Friday 11th May 2018,,,,Research for best options for ELISA Pneumococcal grant,done,True
224,2018-05-14,74,Monday,Monday 14th May 2018,09:00:00,12:00:00,180.0,9-12: 40x H&E airway imaging KB22,done,True
