,date,ordinal_date,dayofweek,day,time taken,start_time,end_time,time_taken,activity,strike,black,red,green,blue,activity status,planned
50,2018-03-20,19,Tuesday,Tuesday 20th March 2018,9-1,09:00:00,13:00:00,240.0,9-1: KB19 RT on KB19 RNA extractions,False,False,True,False,False,not done,True
51,2018-03-20,19,Tuesday,Tuesday 20th March 2018,,,,,CD18 BALF counts (Chantal),False,False,True,False,False,not done,True
52,2018-03-20,19,Tuesday,Tuesday 20th March 2018,,,,,KB22 Collagen analysis using imagej functions on ACV and SCV samples.,True,True,False,False,False,done,True
53,2018-03-20,19,Tuesday,Tuesday 20th March 2018,,,,,Ordering,True,True,False,False,False,done,True
54,2018-03-20,19,Tuesday,Tuesday 20th March 2018,3-5,15:00:00,17:00:00,120.0,3-5: qPCR Ileum VEGF,True,True,False,False,False,done,True
55,2018-03-21,20,Wednesday,Wednesday 21st March 2018,9-10,09:00:00,10:00:00,60.0,9-10: Process order for Chantal,False,False,False,False,True,done,False
56,2018-03-21,20,Wednesday,Wednesday 21st March 2018,10-12,10:00:00,12:00:00,120.0,10-12: CD18 BALF counts (Chantal),True,True,False,False,False,done,True
57,2018-03-21,20,Wednesday,Wednesday 21st March 2018,9-5,09:00:00,17:00:00,480.0,"9-5: 2x 96 well plates qPCR: On Colon, and lung for GM-CSF",True,True,False,False,False,done,True
58,2018-03-22,21,Thursday,Thursday 22nd March 2018,9-12,09:00:00,12:00:00,180.0,9-12: Various housekeeping and others: ,False,True,False,False,False,done,True
59,2018-03-22,21,Thursday,Thursday 22nd March 2018,Troubleshoot failed qPCRs,,,,Troubleshoot failed qPCRs: nanodrop some samples and do single tube PCRs – see lab book p22,True,True,False,False,False,done,True
60,2018-03-22,21,Thursday,Thursday 22nd March 2018,,,,,Process Delivery slips,True,True,False,False,False,done,True
61,2018-03-22,21,Thursday,Thursday 22nd March 2018,,,,,"Check Vrushali’s orange histology boxes, tracked down original supplier and emailed thermosfisher asking for a free sample box",True,True,False,False,False,done,True
62,2018-03-22,21,Thursday,Thursday 22nd March 2018,,,,,Ask HMRI FM about 2x extension cables for power outage on friday morning,True,True,False,False,False,done,True
63,2018-03-22,21,Thursday,Thursday 22nd March 2018,9-5,09:00:00,17:00:00,480.0,"9-5: 2x 96 well plates qPCR: On Colon, and lung for IL-17a",False,False,True,False,False,not done,True
64,2018-03-22,21,Thursday,Thursday 22nd March 2018,,,,,KB22 Collagen analysis,True,True,False,False,False,done,True
65,2018-03-22,21,Thursday,Thursday 22nd March 2018,5,05:00:00,,,5: Double check to make sure old -20C freezer and the chest freezer inside the bacterial lab are on red powerpoints,True,True,False,False,False,done,True
66,2018-03-22,21,Thursday,Thursday 22nd March 2018,4-5,16:00:00,17:00:00,60.0,4-5: qPCR on Ileum VEGF (repeat)  This worked! All good.,True,True,False,False,False,done,True
67,2018-03-23,22,Friday,Friday 23rd March 2018,Other times,,,,"Other times: Ordering, Return extension cable, KB22 Collagen analysis",True,True,False,False,True,done,False
68,2018-03-23,22,Friday,Friday 23rd March 2018,12-1,12:00:00,13:00:00,60.0,12-1: IL-17a gradient test,True,True,False,False,False,done,True
69,2018-03-23,22,Friday,Friday 23rd March 2018,,,,,Aliquot sPBS,False,False,False,False,True,done,False
70,2018-03-23,22,Friday,Friday 23rd March 2018,4-5,16:00:00,17:00:00,60.0,4-5: 1x 96 well plates qPCR: On Lung GMCSF,False,True,False,False,False,done,True
72,2018-03-26,25,Monday,Monday 26th March 2018,10:30-11,10:30:00,11:00:00,30.0,"10:30-11: Make sense of IL-17a temperature gradient data, we need to design new primers for this gene",True,True,False,False,False,done,True
73,2018-03-26,25,Monday,Monday 26th March 2018,9-5,09:00:00,17:00:00,480.0,"9-5: 2x 96 well plates qPCR: On Colon, and lung for IL-17a",False,False,True,False,False,not done,True
74,2018-03-26,25,Monday,Monday 26th March 2018,9-10:30,09:00:00,10:30:00,90.0,"9-10:30: Ordering, deliveries",False,False,False,False,True,done,False
75,2018-03-26,25,Monday,Monday 26th March 2018,11-3:30,11:00:00,15:30:00,270.0,11-3:30: KB22 Collagen analysis,True,True,False,False,False,done,True
76,2018-03-26,25,Monday,Monday 26th March 2018,Sometime today,,,,"Sometime today: Microbiome group meeting, postponed till tomorrow sometime",False,True,True,False,False,not done,True
77,2018-03-26,25,Monday,Monday 26th March 2018,3:30-5,15:30:00,17:00:00,90.0,"3:30-5: 96 well qPCR, Lung GM-CSF (attempt 2)",True,True,False,False,False,done,True
79,2018-03-27,26,Tuesday,Tuesday 27th March 2018,Sometime today,,,,Sometime today: Microbiome group meeting,False,False,False,False,True,done,False
80,2018-03-27,26,Tuesday,Tuesday 27th March 2018,Sometime today,,,,Sometime today: Brit will show me how to order primers,False,False,True,False,False,not done,True
81,2018-03-27,26,Tuesday,Tuesday 27th March 2018,Just before 1pm,,,,Just before 1pm: Check if endpoint people need more LN2. Got them more LN2.,True,True,False,False,False,done,True
82,2018-03-27,26,Tuesday,Tuesday 27th March 2018,1-2,13:00:00,14:00:00,60.0,"1-2: 96 well qPCR, Colon IFNγ",True,True,False,False,False,done,True
83,2018-03-27,26,Tuesday,Tuesday 27th March 2018,4-5,16:00:00,17:00:00,60.0,"4-5: 96 well qPCR, Lung IFNγ",False,False,True,False,False,not done,True
84,2018-03-27,26,Tuesday,Tuesday 27th March 2018,Fill rest of time with,,,,Fill rest of time with: Collagen analysis,True,True,False,False,False,done,True
86,2018-03-28,27,Wednesday,Wednesday 28th March 2018,4-5,16:00:00,17:00:00,60.0,"4-5: 96 well qPCR, Lung IFNγ on hold, until issue with IFNy can be fixed.",False,True,True,False,False,not done,True
87,2018-03-28,27,Wednesday,Wednesday 28th March 2018,1-2,13:00:00,14:00:00,60.0,1-2: Test qPCR IFNγ (my working stock vs Jemma working stock) on cDNA from SS02 and from a confirmed experiment by Jemma,False,False,False,False,True,done,False
88,2018-03-28,27,Wednesday,Wednesday 28th March 2018,4-5,16:00:00,17:00:00,60.0,4-5: Proofreading microbiome review paper,False,False,False,False,True,done,False
89,2018-03-28,27,Wednesday,Wednesday 28th March 2018,,,,, [PCR for Shakti],False,False,True,False,False,note,True
90,2018-03-28,27,Wednesday,Wednesday 28th March 2018,,,,,Collagen analysis KB22,True,True,False,False,False,done,True
91,2018-03-29,28,Thursday,Thursday 29th March 2018,,,,,Solve IFNy primer issue – solved! ,False,False,False,False,True,done,False
92,2018-03-29,28,Thursday,Thursday 29th March 2018,,,,,Investigate Lizzy Mann paper methodology,False,False,False,False,True,done,False
93,2018-03-29,28,Thursday,Thursday 29th March 2018,,,,,Collagen analysis KB22,False,False,False,False,True,done,False
94,2018-04-03,33,Tuesday,Tuesday 3rd April 2018,,,,,UoN concession day,False,True,False,False,False,done,True
95,2018-04-04,34,Wednesday,Wednesday 4th April 2018,9-11,09:00:00,11:00:00,120.0,9-11: Design and order IFNy and IL-17a primers (Shakti),False,False,True,False,False,not done,True
96,2018-04-04,34,Wednesday,Wednesday 4th April 2018,11-12,11:00:00,12:00:00,60.0,11-12: Finish KB22 Collagen analysis (Kurtis),True,True,False,False,False,done,True
97,2018-04-04,34,Wednesday,Wednesday 4th April 2018,1-2,13:00:00,14:00:00,60.0,1-2: Meeting with Shakti about things to do,True,True,False,False,False,done,True
98,2018-04-04,34,Wednesday,Wednesday 4th April 2018,,,,,"
",False,True,False,False,False,done,True
99,2018-04-04,34,Wednesday,Wednesday 4th April 2018,,,,,Tube labelling KB20 Faeces,False,False,False,False,True,done,False
100,2018-04-04,34,Wednesday,Wednesday 4th April 2018,,,,,Deliveries sheets,False,False,False,False,True,done,False
101,2018-04-04,34,Wednesday,Wednesday 4th April 2018,2-5,14:00:00,17:00:00,180.0,2-5: KB19 RT-PCR (Kurtis),False,False,True,False,False,not done,True
102,2018-04-05,35,Thursday,Thursday 5th April 2018,,,,,Plan PCRs for Shakti,False,False,False,True,False,partly done,True
103,2018-04-05,35,Thursday,Thursday 5th April 2018,,,,,Design IFNy and IL-17a primers (Shakti),False,False,False,True,False,partly done,True
104,2018-04-05,35,Thursday,Thursday 5th April 2018,,,,,Re-run IFNy test PCR since yesterday’s didn’t work. Worked! Confirms that current primers are not working.,True,True,False,False,False,done,True
105,2018-04-05,35,Thursday,Thursday 5th April 2018,,,,,Tube labelling KB20 Faeces,True,True,False,False,False,done,True
106,2018-04-05,35,Thursday,Thursday 5th April 2018,1-5,13:00:00,17:00:00,240.0,1-5: Help Alex and Richard with endpoint (Alex),True,True,False,False,False,done,True
107,2018-04-06,36,Friday,Friday 6th April 2018,,,,,"[Bereavement leave, funeral]",False,True,False,False,False,note,True
108,2018-04-09,39,Monday,Monday 9th April 2018,,,,,Was sick.,False,True,False,False,False,note,True
109,2018-04-09,39,Monday,Monday 9th April 2018,9-9:10,09:00:00,09:10:00,10.0,9-9:10: Check on old bacto lab -20C.,False,False,True,False,False,not done,True
110,2018-04-09,39,Monday,Monday 9th April 2018,9:10-10,09:10:00,10:00:00,50.0,9:10-10: Freezer inventory -80C,False,False,True,False,False,not done,True
111,2018-04-09,39,Monday,Monday 9th April 2018,10-12,10:00:00,12:00:00,120.0,10-12: Design IFNy and IL-17a primers (Shakti),False,False,True,False,False,not done,True
112,2018-04-09,39,Monday,Monday 9th April 2018,1-3,13:00:00,15:00:00,120.0,1-3: Lab chores,False,False,True,False,False,not done,True
113,2018-04-10,40,Tuesday,Tuesday 10th April 2018,9-10,09:00:00,10:00:00,60.0,9-10: -80C freezer inventory (Lab),True,True,False,False,False,done,True
114,2018-04-10,40,Tuesday,Tuesday 10th April 2018,10-12,10:00:00,12:00:00,120.0,10-12: Design IFNy and IL-17a primers (Shakti),False,False,True,False,False,not done,True
115,2018-04-10,40,Tuesday,Tuesday 10th April 2018,1-3,13:00:00,15:00:00,120.0,"1-3: Lab chores (Lab) – aliquots of PBS, aliquots of RBCLB",True,True,False,False,False,done,True
116,2018-04-10,40,Tuesday,Tuesday 10th April 2018,3-5,15:00:00,17:00:00,120.0,3-5: PCR planning for SS02 PCR #4 (Shakti),True,True,False,False,False,done,True
117,2018-04-10,40,Tuesday,Tuesday 10th April 2018,,,,,Find IL-18 and IL-1b ELISA kits (IL-18 kit probably doesn’t exist),True,True,False,False,False,done,True
118,2018-04-10,40,Tuesday,Tuesday 10th April 2018,,,,,Get FoxP3 Trn Factor.,True,True,False,False,False,done,True
119,2018-04-10,40,Tuesday,Tuesday 10th April 2018,9-3,09:00:00,15:00:00,360.0,9-3: qPCR (Shakti),False,False,True,False,False,not done,True
120,2018-04-11,41,Wednesday,Wednesday 11th April 2018,9-10,09:00:00,10:00:00,60.0,"9-10: Prep hood, make freezing media for PIES",True,True,False,False,False,done,True
121,2018-04-11,41,Wednesday,Wednesday 11th April 2018,9-10,09:00:00,10:00:00,60.0,9-10: -80C Freezer inventory,True,True,False,False,False,done,True
122,2018-04-11,41,Wednesday,Wednesday 11th April 2018,10-2,10:00:00,14:00:00,240.0,10-2: PIES 110 JDK V3,True,True,False,False,False,done,True
123,2018-04-11,41,Wednesday,Wednesday 11th April 2018,After 2,,,,After 2: Find and organise SS02 samples for protein extraction (Shakti),False,False,True,False,False,not done,True
124,2018-04-11,41,Wednesday,Wednesday 11th April 2018,3-5,15:00:00,17:00:00,120.0,3-5: Shadow Tegan for ELISA,False,False,True,False,False,not done,True
125,2018-04-12,42,Thursday,Thursday 12th April 2018,9-12:30,09:00:00,12:30:00,210.0,"9-12:30: SS02 colon and lung PCR 384 well, inflammasome (Shakti/Chantal)",True,True,False,False,False,done,True
126,2018-04-12,42,Thursday,Thursday 12th April 2018,After 1,,,,After 1: Find and organise SS02 samples for protein extraction (Shakti),True,True,False,False,False,done,True
127,2018-04-12,42,Thursday,Thursday 12th April 2018,2-3,14:00:00,15:00:00,60.0,"2-3: CD15 BALF (Chantal), microscope booked",False,True,True,False,False,not done,True
128,2018-04-12,42,Thursday,Thursday 12th April 2018,,,,,PCR analysis,True,True,False,False,False,done,True
129,2018-04-12,42,Thursday,Thursday 12th April 2018,4-5,16:00:00,17:00:00,60.0,4-5: -80C freezer inventory,True,True,False,False,False,done,True
130,2018-04-12,42,Thursday,Thursday 12th April 2018,3-5,15:00:00,17:00:00,120.0,3-5: Shadow Tegan for ELISA,True,True,False,False,False,done,True
131,2018-04-13,43,Friday,Friday 13th April 2018,,,,,[Sick again],False,True,False,False,False,note,True
132,2018-04-13,43,Friday,Friday 13th April 2018,9-5,09:00:00,17:00:00,480.0,9-5: Shadow Tegan for ELISA,False,False,True,False,False,not done,True
133,2018-04-13,43,Friday,Friday 13th April 2018,4-5,16:00:00,17:00:00,60.0,4-5: -80C freezer inventory,False,False,True,False,False,not done,True
134,2018-04-13,43,Friday,Friday 13th April 2018,2-5,14:00:00,17:00:00,180.0,2-5: Protein extractions of SS02 samples or KB air vs smk samples,False,False,True,False,False,not done,True
135,2018-04-16,46,Monday,Monday 16th April 2018,9-10,09:00:00,10:00:00,60.0,9-10: -80C freezer inventory,True,True,False,False,False,done,True
136,2018-04-16,46,Monday,Monday 16th April 2018,,,,,Validate new scales,True,True,False,False,False,done,True
137,2018-04-16,46,Monday,Monday 16th April 2018,,,,,"Check RBCLB and PBS aliquot levels, all good, will need more later this week",True,True,False,False,False,done,True
138,2018-04-16,46,Monday,Monday 16th April 2018,,,,,Labelling for Tegan/Chantal,True,True,False,False,False,done,True
139,2018-04-16,46,Monday,Monday 16th April 2018,2:30-3,14:30:00,15:00:00,30.0,2:30-3: Lab chore: Cleaning glasswear,True,True,False,False,False,done,True
140,2018-04-16,46,Monday,Monday 16th April 2018,2-5,14:00:00,17:00:00,180.0,2-5: Protein extractions of KB air vs smk samples Cant do this as there is no PhosStop (Samples in downstairs freezer),False,True,True,False,False,not done,True
141,2018-04-16,46,Monday,Monday 16th April 2018,,,,,Planning for freezer contents shifting,True,True,False,False,False,done,True
142,2018-04-16,46,Monday,Monday 16th April 2018,1:30-4,13:30:00,16:00:00,150.0,1:30-4: Design IFNy and IL-17a primers (Shakti),False,False,True,False,False,not done,True
143,2018-04-16,46,Monday,Monday 16th April 2018,12-1,12:00:00,13:00:00,60.0,12-1: CD15 BALF counts,True,True,False,False,False,done,True
144,2018-04-17,47,Tuesday,Tuesday 17th April 2018,9-10,09:00:00,10:00:00,60.0,"9-10: Shadow Britt for protein extraction, cant do no phosstop",False,True,True,False,False,not done,True
145,2018-04-17,47,Tuesday,Tuesday 17th April 2018,9:30-10,09:30:00,10:00:00,30.0,9:30-10: Shift -20 freezer contents to new freezers.,True,False,False,False,True,done,False
146,2018-04-17,47,Tuesday,Tuesday 17th April 2018,11:30-1,11:30:00,13:00:00,90.0,11:30-1: Mast Cell culturing (Gang),True,True,False,False,False,done,True
147,2018-04-17,47,Tuesday,Tuesday 17th April 2018,2-3,14:00:00,15:00:00,60.0,2-3: Microbiome meeting,True,False,False,False,True,done,False
148,2018-04-17,47,Tuesday,Tuesday 17th April 2018,3-4,15:00:00,16:00:00,60.0,3-4: Shift -20 freezer contents to new freezers.,True,False,False,False,True,done,False
149,2018-04-17,47,Tuesday,Tuesday 17th April 2018,3-5,15:00:00,17:00:00,120.0,3-5: Defrost freezers,True,False,False,False,True,done,False
150,2018-04-17,47,Tuesday,Tuesday 17th April 2018,4-5,16:00:00,17:00:00,60.0,4-5: Tube labelling ACOS (Chantal),True,True,False,False,False,done,True
151,2018-04-18,48,Wednesday,Wednesday 18th April 2018,9-10,09:00:00,10:00:00,60.0,9-10: -80C freezer inventory,True,True,False,False,False,done,True
152,2018-04-18,48,Wednesday,Wednesday 18th April 2018,10-11,10:00:00,11:00:00,60.0,10-11: Sanitise defrosted fridge/freezers,False,False,False,False,True,done,False
153,2018-04-18,48,Wednesday,Wednesday 18th April 2018,11-11:30,11:00:00,11:30:00,30.0,11-11:30: Tube labelling ACOS (Chantal),True,True,False,False,False,done,True
154,2018-04-18,48,Wednesday,Wednesday 18th April 2018,12:30-5,12:30:00,17:00:00,270.0,12:30-5: KB19 RNA extraction + some lung samples for TJ,True,True,False,False,False,done,True
155,2018-04-18,48,Wednesday,Wednesday 18th April 2018,3-5,15:00:00,17:00:00,120.0,3-5: Prepare for IL-1b ELISA,False,False,True,False,False,not done,True
156,2018-04-19,49,Thursday,Thursday 19th April 2018,9-10,09:00:00,10:00:00,60.0,9-10: -80C freezer inventory,True,True,False,False,False,done,True
157,2018-04-19,49,Thursday,Thursday 19th April 2018,10-12,10:00:00,12:00:00,120.0,10-12: Tube labelling ACOS (Chantal),True,True,False,False,False,done,True
158,2018-04-19,49,Thursday,Thursday 19th April 2018,,,,,"Check Mast Cells, DMEM still red",True,True,False,False,False,done,True
159,2018-04-19,49,Thursday,Thursday 19th April 2018,1-3,13:00:00,15:00:00,120.0,1-3: BALF CD15 (Chantal),True,True,False,False,False,done,True
160,2018-04-19,49,Thursday,Thursday 19th April 2018,3-5,15:00:00,17:00:00,120.0,3-5: IFNy and IL-17a primer design,True,True,False,False,False,done,True
161,2018-04-19,49,Thursday,Thursday 19th April 2018,9-5,09:00:00,17:00:00,480.0,9-5: IL-1b ELISA of SS02 air vs 12 wk smk and poo transplants,False,False,True,False,False,not done,True
162,2018-04-20,50,Friday,Friday 20th April 2018,9-5,09:00:00,17:00:00,480.0,9-5: Shadow Britt for ELISA ,False,False,True,False,False,not done,True
163,2018-04-20,50,Friday,Friday 20th April 2018,,,,,Freezer inventory,False,False,True,False,False,not done,True
164,2018-04-20,50,Friday,Friday 20th April 2018,,,,,"Order primers, double check they tick all the boxes (Shakti)",True,True,True,False,False,partly done,True
165,2018-04-20,50,Friday,Friday 20th April 2018,,,,,Labelling still more to go...,True,True,False,False,False,done,True
166,2018-04-20,50,Friday,Friday 20th April 2018,,,,,Move new freezers into position,True,True,False,False,False,done,True
167,2018-04-20,50,Friday,Friday 20th April 2018,,,,,Protein extraction,False,False,True,False,False,not done,True
168,2018-04-20,50,Friday,Friday 20th April 2018,,,,,Passage Mast Cells,True,True,False,False,False,done,True
169,2018-04-23,53,Monday,Monday 23rd April 2018,9-5,09:00:00,17:00:00,480.0,9-5: Shadow Britt for ELISA ,False,False,True,False,False,not done,True
170,2018-04-23,53,Monday,Monday 23rd April 2018,9-1:30,09:00:00,13:30:00,270.0,9-1:30: Protein extractions of KB air vs smk samples (Samples in downstairs freezer),True,True,False,False,False,done,True
171,2018-04-23,53,Monday,Monday 23rd April 2018,2-5,14:00:00,17:00:00,180.0,2-5: Labelling,True,True,False,False,False,done,True
172,2018-04-24,54,Tuesday,Tuesday 24th April 2018,9-12,09:00:00,12:00:00,180.0,9-12: BSA validation of protein extractions,False,False,True,False,False,not done,True
173,2018-04-24,54,Tuesday,Tuesday 24th April 2018,9-5,09:00:00,17:00:00,480.0,9-5: Watch other’s ELISA’s,True,True,False,False,False,done,True
174,2018-04-24,54,Tuesday,Tuesday 24th April 2018,11-2,11:00:00,14:00:00,180.0,"11-2: labelling, 3 types of fat and histo tubes",True,True,False,False,False,done,True
175,2018-04-24,54,Tuesday,Tuesday 24th April 2018,Lab chore,,,,Lab chore: PBS aliquots,True,True,False,False,False,done,True
176,2018-04-25,55,Wednesday,Wednesday 25th April 2018,,,,,Anzac Day,False,True,False,False,False,done,True
177,2018-04-26,56,Thursday,Thursday 26th April 2018,9-10,09:00:00,10:00:00,60.0,9-10: Plan for BCA and ELISA,True,True,False,False,False,done,True
178,2018-04-26,56,Thursday,Thursday 26th April 2018,10-1,10:00:00,13:00:00,180.0,10-1: PIES 103 B-W V4 (Tegan),True,True,False,False,False,done,True
179,2018-04-26,56,Thursday,Thursday 26th April 2018,1-4,13:00:00,16:00:00,180.0,"1-4: BCA of colon protein, protein too concentrated, 1:10 dilution should fix this.",True,True,False,False,False,done,True
180,2018-04-26,56,Thursday,Thursday 26th April 2018,,,,,"Help with ACOS endpoint, not needed",False,True,True,False,False,not done,True
181,2018-04-27,57,Friday,Friday 27th April 2018,9-11,09:00:00,11:00:00,120.0,9-11: qPCR SS02 Colon Smk 12 wk FT inflammasome (Shakti),True,True,False,False,False,done,True
182,2018-04-27,57,Friday,Friday 27th April 2018,11-1,11:00:00,13:00:00,120.0,11-1: BCA of colon protein (Shakti/Kurtis),True,True,False,False,False,done,True
183,2018-04-27,57,Friday,Friday 27th April 2018,2-4,14:00:00,16:00:00,120.0,2-4: May Grunwald staining (Henry – for Grant),True,True,False,False,False,done,True
184,2018-04-27,57,Friday,Friday 27th April 2018,,,,,"Help with ACOS endpoint, not needed",False,True,True,False,False,not done,True
